,gene_ID,count,mean,std,p_val,p_corr
1284,ECB_01731,34.0,3.5833554922164504e-07,3.1183111904385877e-07,0.912,1.0
1285,ECB_02146,13.0,3.5824403343096404e-07,2.4354561218866674e-07,0.78,1.0
1286,ECB_01673,4.0,3.582148966296483e-07,1.3687291110877735e-07,0.618,1.0
1287,ECB_03251,6.0,3.581970902918017e-07,3.2082358091919036e-07,0.63,1.0
1288,ECB_02355,4.0,3.580767114620082e-07,1.8013567299492458e-07,0.554,1.0
1289,ECB_03267,57.0,3.5767881467931846e-07,3.027974376015869e-07,0.936,1.0
1290,ECB_02230,41.0,3.5751517212776057e-07,2.521107198979495e-07,0.918,1.0
1291,ECB_02526,45.0,3.5740377237707306e-07,2.5787190499492785e-07,0.918,1.0
1292,ECB_03087,42.0,3.57375743897849e-07,3.0138326648990216e-07,0.908,1.0
1293,ECB_03565,6.0,3.5694047517266877e-07,4.0576555319672846e-07,0.628,1.0
1294,ECB_03495,13.0,3.566717521435413e-07,5.083704774319495e-07,0.77,1.0
1295,ECB_03703,6.0,3.564778646284627e-07,3.708660647035203e-07,0.668,1.0
1296,ECB_03358,118.0,3.56457250779227e-07,3.1446163614883383e-07,0.988,1.0
1297,ECB_00040,13.0,3.560802378960745e-07,2.660575033083486e-07,0.744,1.0
1298,ECB_02412,17.0,3.55994469931814e-07,3.627150926992925e-07,0.774,1.0
1299,ECB_02906,9.0,3.559814796691556e-07,3.7505083569693355e-07,0.716,1.0
1300,ECB_01463,18.0,3.558227001177618e-07,4.893811164445117e-07,0.794,1.0
1301,ECB_00493,47.0,3.558059309338931e-07,3.382475700148472e-07,0.94,1.0
1302,ECB_02092,27.0,3.557731252328304e-07,3.263895392516418e-07,0.882,1.0
1303,ECB_03795,7.0,3.5571195089617767e-07,2.0228314797703913e-07,0.678,1.0
1304,ECB_02332,4.0,3.5559549647369455e-07,2.124037272698602e-07,0.616,1.0
1305,ECB_00318,5.0,3.555503977242245e-07,1.2240695599189502e-07,0.62,1.0
1306,ECB_02411,5.0,3.555373654114844e-07,2.838215933809513e-07,0.634,1.0
1307,ECB_02228,5.0,3.553309218814056e-07,2.001126024451126e-07,0.642,1.0
1308,ECB_02975,5.0,3.5519727241754643e-07,2.5058945412463735e-07,0.658,1.0
1309,ECB_02588,7.0,3.549886398473912e-07,3.0131123703161495e-07,0.638,1.0
1310,ECB_02717,7.0,3.5465778567616976e-07,2.5249139530828715e-07,0.68,1.0
1311,ECB_01141,11.0,3.536921671993003e-07,3.2592081921679237e-07,0.728,1.0
1312,ECB_01584,41.0,3.536239074880156e-07,3.475173264108263e-07,0.938,1.0
1313,ECB_00643,4.0,3.53146613326797e-07,2.0560039473529995e-07,0.576,1.0
1314,ECB_01161,32.0,3.530325775783748e-07,2.9109288753760507e-07,0.89,1.0
1315,ECB_02632,7.0,3.524065469742489e-07,1.821202776894061e-07,0.672,1.0
1316,ECB_01844,26.0,3.5236346811594853e-07,3.0668946037135677e-07,0.894,1.0
1317,ECB_01286,47.0,3.5231492422565347e-07,3.4882302868079966e-07,0.938,1.0
1318,ECB_01595,38.0,3.5209920642002227e-07,3.231540208625018e-07,0.902,1.0
1319,ECB_01468,36.0,3.5199330719373575e-07,3.3076887270278416e-07,0.916,1.0
1320,ECB_00721,20.0,3.5197246891638456e-07,3.2033268762961136e-07,0.862,1.0
1321,ECB_01918,6.0,3.518158198574428e-07,4.379900661476418e-07,0.674,1.0
1322,ECB_01897,14.0,3.517272598952201e-07,2.6247137847729694e-07,0.794,1.0
1323,ECB_02870,11.0,3.511198122898257e-07,2.4160349020706483e-07,0.756,1.0
1324,ECB_00987,15.0,3.5102992119564054e-07,2.712988735062322e-07,0.796,1.0
1325,ECB_03027,7.0,3.50934079996668e-07,3.604498412019823e-07,0.678,1.0
1326,ECB_02150,7.0,3.5090102656198377e-07,2.2044811221134184e-07,0.658,1.0
1327,ECB_00884,10.0,3.508286484579987e-07,2.4974313517890935e-07,0.748,1.0
1328,ECB_02440,60.0,3.507588599892164e-07,3.302570875989112e-07,0.966,1.0
1329,ECB_00330,24.0,3.5059164050228173e-07,3.363783088488422e-07,0.874,1.0
1330,ECB_03698,85.0,3.505910779506562e-07,3.178115399068548e-07,0.986,1.0
1331,ECB_01672,19.0,3.5053710073098856e-07,2.7391881038054504e-07,0.826,1.0
1332,ECB_02517,19.0,3.505282020452886e-07,2.5583232146899043e-07,0.818,1.0
1333,ECB_01615,6.0,3.499659976197077e-07,3.10985413940678e-07,0.674,1.0
1334,ECB_02709,9.0,3.496685256490375e-07,1.7683256527701012e-07,0.748,1.0
1335,ECB_01531,5.0,3.492129936435183e-07,1.128592156177207e-07,0.68,1.0
1336,ECB_01755,119.0,3.4909646187826554e-07,3.087815019333775e-07,0.998,1.0
1337,ECB_01381,46.0,3.4887935366992203e-07,3.0486034264397095e-07,0.966,1.0
1338,ECB_02095,59.0,3.4858290936820557e-07,2.926566286917265e-07,0.958,1.0
1339,ECB_01409,5.0,3.485184782602326e-07,9.222328861601612e-08,0.638,1.0
1340,ECB_02340,5.0,3.4827459718724424e-07,2.785073239545765e-07,0.614,1.0
1341,ECB_02653,16.0,3.480266879320459e-07,3.181138727833006e-07,0.794,1.0
1342,ECB_03290,8.0,3.476178774090278e-07,1.9985430198387114e-07,0.718,1.0
1343,ECB_02544,9.0,3.4720354590680487e-07,4.4356224213065294e-07,0.682,1.0
1344,ECB_00896,5.0,3.471813933842903e-07,2.1809166945666268e-07,0.662,1.0
1345,ECB_02090,6.0,3.4710269919249753e-07,2.1709294741181478e-07,0.686,1.0
1346,ECB_00250,17.0,3.4696761130726047e-07,4.3445665950683285e-07,0.81,1.0
1347,ECB_02149,4.0,3.467946910268844e-07,1.3252166062211773e-07,0.622,1.0
1348,ECB_02214,47.0,3.4655759633553433e-07,3.0724474217045287e-07,0.956,1.0
1349,ECB_01577,5.0,3.465074209321709e-07,2.760678144510121e-07,0.632,1.0
1350,ECB_02303,12.0,3.4640764425251515e-07,3.2831297645244694e-07,0.802,1.0
1351,ECB_03443,5.0,3.463492149219204e-07,2.776909439610114e-07,0.644,1.0
1352,ECB_03951,16.0,3.462640228903066e-07,5.612753425138236e-07,0.82,1.0
1353,ECB_03988,13.0,3.462297414804383e-07,2.838851926587599e-07,0.796,1.0
1354,ECB_01348,54.0,3.460476384263227e-07,3.675705253384927e-07,0.946,1.0
1355,ECB_01203,7.0,3.4531118088130216e-07,2.778682143884394e-07,0.67,1.0
1356,ECB_00570,11.0,3.4530566058237194e-07,2.411524566392795e-07,0.764,1.0
1357,ECB_00447,23.0,3.452585743687671e-07,2.384291924773893e-07,0.884,1.0
1358,ECB_03365,9.0,3.4505582609775114e-07,2.2560654660865676e-07,0.73,1.0
1359,ECB_03178,8.0,3.4493029889408555e-07,2.6314294154216783e-07,0.7,1.0
1360,ECB_00386,7.0,3.445648071843257e-07,2.361285373410559e-07,0.738,1.0
1361,ECB_01195,6.0,3.441561678805415e-07,1.6883055943056201e-07,0.704,1.0
1362,ECB_04184,61.0,3.4403871505966193e-07,2.9894240274183816e-07,0.982,1.0
1363,ECB_03209,9.0,3.439040740351651e-07,3.0908806711243356e-07,0.772,1.0
1364,ECB_03293,29.0,3.4378877464682775e-07,2.9190769901267774e-07,0.914,1.0
1365,ECB_03902,5.0,3.436011774051854e-07,2.4648752731688467e-07,0.668,1.0
1366,ECB_00714,33.0,3.4356897063771816e-07,3.7165008179762504e-07,0.924,1.0
1367,ECB_02714,22.0,3.435614781080304e-07,3.234767174848585e-07,0.866,1.0
1368,ECB_01443,7.0,3.433846761082982e-07,3.2813045102894964e-07,0.746,1.0
1369,ECB_03371,4.0,3.4317647196917477e-07,2.3136120457258279e-07,0.62,1.0
1370,ECB_02978,16.0,3.431411679314934e-07,2.0893283890021185e-07,0.828,1.0
1371,ECB_02083,4.0,3.427549080118268e-07,2.6227476039994285e-07,0.64,1.0
